Location,Latitude,Longitude,"Latitude,  Longitude",Purpose,Age,,Date
"Busan, Korea",35.209209,129.08836,"35.209209,  129.08836",moved back to Korea,32,"mother-in-law, husband ",Spring 1927 - 6/1927
Seoul Train Station,37.55387,126.969641,"37.55387,  126.969641",accompanying husband,32,traveled with husband,6/1927 - 
"Shinuiju, Korea",40.08151,124.467545,"40.08151,  124.467545",accompanying husband,32,traveled with husband,6/1927 - 
"Harbin, China",45.747647,126.624467,"45.747647,  126.624467",accompanying husband,32,traveled with husband,6/1927 - 
"Moscow, Russia",55.741469,37.615561,"55.741469,  37.615561","accompanying husband, took tour",32,traveled with husband,6/1927 - 
"Paris, France",48.859116,2.331839,"48.859116,  2.331839",accompanying husband,32,traveled with husband,7/19/1927 - 
"Lake Baikal, Russia",53.921043,108.10312,"53.921043,  108.10312",accompanying husband,32,traveled with husband,7/1927 - 
"Geneva, Switzerland",46.191574,6.131497,"46.191574,  6.131497",accompanying husband,32,traveled with husband,7/27/1927 - 
"Paris, France",48.859116,2.331839,"48.859116,  2.331839",accompanying husband,32,traveled with husband,8/14/1927 - 
Belgium,50.780688,4.792712,"50.780688,  4.792712","accompanying husband, took tour",32,traveled with husband,8/24/1927 - 
"The Hague, Netherlands",52.07114,4.29916,"52.07114,  4.29916","accompanying husband, took tour",32,traveled with husband,8/24/1927 - 
"Paris, France",48.859116,2.331839,"48.859116,  2.331839",study with artist ____,32,____,8-9/ 1927 - 12/24/1927
"Berlin, Germany",52.52045,13.40732,"52.52045,  13.40732",visit husband,32,husband,12/24/1927 - 1/4/1928
"Paris, France",48.859116,2.331839,"48.859116,  2.331839",,33,,1/4/1928 - 3/1928
Italy,44.732552,11.077303,"44.732552,  11.077303",visit for pleasure with husband ,33,husband,3/1928 - 7/1928
United Kingdom,52.418788,-1.247349,"52.418788,  -1.247349",visit husband,33,husband,7/1/1928 -  8/15/1928
"Paris, France",48.859116,2.331839,"48.859116,  2.331839",visit for pleasure with husband ,33,husband,8/15/1928 - 
Spain,40.09095,-3.464618,"40.09095,  -3.464618","visit for pleasure, accompanying husband",33,husband,8/1928 - 
"New York, NY, USA",40.68295,-73.9708,"40.68295,  -73.9708",travel the U.S. east coast ,33,husband ,9/23/1928 - 
"San Francisco, CA, USA",37.778008,-122.431272,"37.778008,  -122.431272","visit for pleasure, accompanying husband",34,husband,1/12/1929 - 
"Hawaii, USA",19.647634,-155.533256,"19.647634,  -155.533256",stop on boat ride to Japan,34,husband,2/14/1929 - 
"Yokohama-shi, Japan",35.531156,139.544629,"35.531156,  139.544629",,34,husband,3/3/1929 - 
"Tokyo, Japan",35.695126,139.75391,"35.695126,  139.75391",visit for pleasure ,34,husband,3/1929 (1 week) 
"Busan, Korea",35.209209,129.08836,"35.209209,  129.08836",move back/return home,34,mother-in-law,3/12/1929 - 
